,rating,employee_type,review,pros,cons,date,job title
2095,3.0,"Current Employee, more than 8 years",Benefits keep declining while workload increases,"Being such a large company, there's opportunity for growth and personal/professional development. There's a lot to learn, and if you don't like what you're doing, you can try something else in another area. Pay is competitive, for the most part.","There used to be so many great benefits/perks of working at WF. Those benefits made up for working very long hours, having to work unexpectedly during PTO, skipping a lunch break to eat on mute during back-to-back meetings, etc. When you have to work 8am-7pm regularly as a salaried employee, being able to do so at home makes it sting a lot less. Now that they are taking away the ability to work from home most days, I can't imagine how I will get all of the work done and commute home in time to start dinner, exercise, take care of kids, etc. just to wake up, sit in traffic, and do it all over again. I'm going to have to start saying no to the new assignments that come to me at 5pm and are due at 8am. Taking away the ability for high performing/producing employees to spend their long workdays at home is really disappointing. Especially when we've been doing it for over a decade, and other companies are offering it even more now. Other benefits have also been taken away recently - no raises last year for certain level of employees, no 401K match until Dec 31, cell phones taken away, laptops are next. I want to remain a loyal employee but it is getting more difficult every year.",2021-07-17, Corporate Office Employee
2096,3.0,"Former Employee, more than 5 years",Meh,I have met the best people working for Wells Fargo.,The company does not really care about service employees. The pay is pretty poor and there is so much that is expected of you. Usually the company will promote or hire individuals that are presentable enough but are not really educated. They do this so that the pay can remain low with quality service.,2021-07-19, Relationship Banker
2097,3.0,"Current Employee, more than 8 years",Poor pay,Great benefits and time off,"Pay is poor, no growth. Poor communication with employees",2021-07-19, Loan Servicing Specialist
2098,3.0,Current Employee,Good Benefits,"Good benefits such as paid vacation, retirement, health insurance","unprofessional hiring process, unfair management constantly changing products services and policies and procedures",2021-07-19, Branch Manager
2099,3.0,Current Employee,Good company,Good salary. Opportunity for bonus compensation. Locations nationwide.,Still going through a transition,2021-07-20, Anonymous Employee
2100,3.0,"Former Employee, more than 1 year",Benefits,Opportunity to grow fast. Great managment,Pay and expectations from banker,2021-07-20, Personal Banker
2101,3.0,"Former Employee, more than 3 years",Good company to start your career. But not for me,Great Benefits and that's about it.,Poor management. Toxic environment. Metrics is impossible to reach. Stress and fear-drvien.,2021-07-20, Financial Ops Specialist
2102,3.0,Current Employee,"It’s alright, beginner entry level job to finance",Good foundation to get into the world of finance,Your working for a major corporation so you are an expendable employee,2021-07-20, Teller
2103,5.0,Current Employee,Best Job Ever!,Research and daily learning woohoo,Nonexistent none can’t think of any,2021-07-05, Anonymous Employee
2104,5.0,"Current Employee, more than 5 years",Mortgage Undwriter,"Great pay, work life balance, and benefits.",No Cons to report at the time.,2021-07-05, Mortgage Underwriter
2105,1.0,Current Employee,Trasg,I hate it here help me,Nothings is good help me,2021-08-10, Anonymous Employee
2106,1.0,"Current Employee, more than 8 years",bad,there aren't any pros at this moment... wish there was but there isn't,"company doesn't know where what direction they are going in, limited opportunities in leadership roles promotions not based on your performance but nepotism and politics",2021-08-10, Licensed Relationship Banker
2107,1.0,Former Employee,N/a,Nothing good to say about this company.,A horrible company to work for.,2021-08-10, Customer Service Representative
2108,2.0,"Current Employee, more than 3 years",Working for Wells Fargo,Sales goals are not as bad as at other banks.,"Staffing is terrible, they expect a lot from you.",2021-07-19, Teller At Wells Fargo
2109,2.0,"Former Employee, more than 1 year",Stressfull,They have a lot of vacation and sick days to use.,"Metrics are impossible to meet. They keep changing their policies and practices which upset customers and they take it out on us. They are also shady about their overdraft fees and don't exactly follow their own rules so our ""script"" doesn't make a whole lot of sense.",2021-07-20, Phone Banker
2110,2.0,"Former Employee, more than 1 year",Stressfull,They have a lot of vacation and sick days to use.,"Metrics are impossible to meet. They keep changing their policies and practices which upset customers and they take it out on us. They are also shady about their overdraft fees and don't exactly follow their own rules so our ""script"" doesn't make a whole lot of sense.",2021-07-20, Phone Banker
2111,2.0,"Former Employee, more than 5 years",Not ethical,Benefits were great and they had a gym onsite,"They do not care about their customers unless they are rich. They will charge all kinds of fees to old people on fixed incomes. They don't care about their employees either, you are expendable and the managers follow that same way of working. Gaslighting galore",2021-07-20, Customer Service Representative
2112,2.0,"Current Employee, more than 10 years",Not worth the $,"Pay well, but not much else.",Treat people like numbers. Profits and share price over people,2021-07-20, Market Executive
2113,5.0,Current Employee,Great,Wondering hours great hourly pay,Horrible work team and change of rules a lot,2021-07-01, Teller
2114,4.0,"Current Employee, more than 5 years",Wells. Fargo,If you work hard to do your job you can make it far and make a good amount of commission.,You have to work hard to make it in this company. If you just do the minimum. You will make just your salary,2021-07-05, Personal Banker
2115,4.0,"Current Employee, more than 10 years",expertise but limited,"started as an analyst to progressively promoted to become a manager, work at wells fargo has been great",if you only want to specialize in one specific area. it is too detailed the way to split organization structure and thus responsibilities,2021-07-05, Credit Risk Manager
2116,3.0,"Current Employee, more than 1 year",Great Potential with Many Downfalls,The company has a lot of upside in the talent and resources available at its fingertips. Great benefits when they finally take effect. Offers competitive salary,Benefits don't start till much later than my previous companies with 401k almost starting 2 years later if you joined at the beginning of the year. Lots of red tape and finger pointing in the company bogging it down.,2021-07-19, Analytics Consultant V
2117,2.0,"Current Employee, more than 1 year",Easy Teller Position,"Easy work environment, good coaching and training from management. Fun and friendly atmosphere with a focus on teamwork. Good 401k match and benefits, also access to free or discounted bank products.","Strong disconnect from corporate to retail locations. Staff often has negative attitude towards the bank and customers, at certain branches. Position is quite draining and taxing on the mind after some time. Extremely difficult to progress your career within the company.",2021-07-17, Bank Teller
2118,2.0,Current Employee,Constant offshoring,Big enough to move around,Constant fear of job loss,2021-07-18, Data Analytics
2119,2.0,Current Employee,Teller,Hours are not too bad.,Company in a state of transition.,2021-07-18, Teller
2120,5.0,Current Employee,Excellent work/life balance,"For over 15 years, I have no complaints about the work/life balance in Wells Fargo!","I have to admit, I'm not as proud to be an employee after reading in the news all about the bad and unethical things some of my co-employees and executives did.",2021-06-29, Enterprise Business Architect
2121,5.0,"Former Employee, more than 3 years",Great Job,Good pay for the job,Long hours for the work week,2021-06-29, Analyst
2122,4.0,"Former Employee, less than 1 year",Good paying,"Good pay
Good business
Good leads to use","Lots of hours
Other team members can lack skills",2021-07-03, Home Mortgage Consultant
2123,4.0,"Current Employee, more than 5 years",Working at Wells,"Great compensation, benefits, and people",It’s a struggle to be promoted within. More people choose to leave to gain the job titles and experience then come back.,2021-07-03, Senior Recruiter
2124,3.0,"Current Employee, more than 5 years",Out of touch upper management,"The benefits are good, really prioritizing diversity and inclusion, parental leave is amazing","Upper management is very focused on people pleasing instead of protecting their employees, very few in leadership roles actually listen to what the team members have to say.",2021-07-15, Service Manager II
2125,3.0,"Current Employee, more than 1 year",Pros and cons,Benefits are really good and you learn a lot,Short staffing is always a issue,2021-07-17, Personal Banker
2126,3.0,Current Employee,Heading in the right direction,"Becoming better with technology, constantly improving processes, product innovation","Senior management has the same culture as before the scandal
Staffing is not meeting customer demand and starting to drive people to bank elsewhere",2021-07-18, Branch Manager
2127,5.0,"Current Employee, more than 1 year",Good job,I had a good time here,Some customers were rude but it was ok,2021-07-02, Bank Teller
2128,5.0,Current Employee,Great company to work for,Lots of PTO and paid holidays,Nothing really that I can think of,2021-07-02, Private Banker
2129,5.0,"Current Employee, more than 8 years",Great training,Great trading and teamwork. Promotion,No down side I can think of,2021-07-02, Anonymous Employee
2130,1.0,"Former Employee, less than 1 year",teller,ok pay and nice people to be around for 8 hours.,"They are so aggressive with sales, it's crazy. They threaten to let you go if you don't reach sales goals.",2021-08-06, Bank Teller
2131,5.0,"Current Employee, more than 8 years",Commercial Banking,Sound management with career development goals,Documentation and operational support significantly lcking,2021-06-28, Commercial Relationship Manager
2132,5.0,Current Employee,Yeah,Good pay salary which is nice,Busy work nevet get a break,2021-06-28, Manager
2133,5.0,"Current Employee, more than 3 years",Good job,Wells Fargo is open to advancement and growth,Many customers get upset at you for things you can’t control,2021-06-28, Bank Teller
2134,4.0,"Current Employee, more than 8 years",Self- Development is Key,"If a self-starter and motivated, opportunities abound for development and networking",held multiple roles within the company and have rarely had a manager that was focused on my professional development outside of meeting sales goals,2021-07-02, Relationship Associate II
2135,4.0,"Former Employee, more than 10 years",Overall good company,They paid reasonably well and the people are nice,Very bureaucratic and was difficult to get things done,2021-07-02, Senior Vice President Data Science
2136,4.0,"Former Employee, more than 1 year",Great opportunity to grow,"learned a lot of experience about opening/closing a sale

meeting new and different people everyday

work recognition and promotion from within

room to grow","sometimes too faced paced

standing for long hours, constantly had to get back massages. 

environment can be a little stressful dealing with money and accounts, so if you make a mistake, get ready for it.",2021-07-03, Bank Teller
2137,3.0,"Current Employee, more than 1 year",A Good Place to get Started,"Benefits, overall accepting work environment","Lots of development team members are offshore. Thusly, timing is a thing you have to work around a lot",2021-07-14, Systems Applications Engineer
2138,3.0,"Current Employee, more than 5 years",It's an Old bank that's still viable,Great Work From Home policy and the compensation package. They're some changes but hopefully they come to thier senses quick.,Workplace culture can kill the faint of heart. A lot of bureaucracy that are ineffective.,2021-07-15, Senior Software Engineer
2139,3.0,"Current Employee, more than 3 years",Loved it until my branch closed and was left not knowing if I still have a job,"Benefits like 4 months maternity leave, family leave. Insurance, 401k",Favorite get promoted even if they are bad employees. Ceo only cares about satisfying share holders you can get laid off at any time wiout notice.,2021-07-16, Personal Banker
2140,4.0,"Current Employee, less than 1 year",Pipeline program - Early Talent Program into Strategic Sourcing Consultant,Company culture - made lots of connections and friends & Diversity very diverse company,Onboarding was a bit rough,2021-06-29, Supply Chain Strategic Sourcing Associate
2141,5.0,Current Employee,Great,Nice environment easy going hapoy,None not that I can think of,2021-07-02, Anonymous Employee
2142,1.0,"Current Employee, more than 3 years","The definition of ""disorganized crime""",Pays better than most of their competitors in the same market,"Silos, politics, no 360 feedback system, employee satisfaction surveys are rare and when performed they are not anonymous, no skip level meetings, strategic planning includes ""how do we pin this on someone else"", regular reminders to be suspicious of peer teams that might try to ""pin something on us"", no accountability, employee performance calibration is always opinion based not goal based. Cronyism from the top down. 

TLDR; If you take the ignorance and indifference that led to the account opening scandal and add the dumbest people from JPMC you'd just be scratching the surface of this train wreck.",2021-08-04, Tech Bus Services Manager
2143,1.0,"Current Employee, more than 10 years",run,"none, the current management at the direction of Charlie Scharf is trying to get as many people to leave as possible. they are removing benefits. this is a shell of the company it once was","everything—no opportunities, long hours, no raises or promotions. boss does not care about your growth.
everyone is worried about layoffs. people who can leave are leaving",2021-08-05, Cyber Security Analyst
2144,5.0,"Current Employee, more than 1 year",Overall Great Company,"- Salary is Fair to Above Fair depending on job family
- 6% match 401k kicks in after a year
- tuition reimbursement kicks in after 6 months","- Very strict policies
- Not allowing remote work after Covid
- Managers do not have much say if the executives make a decision",2021-06-28, Process Engineer Associate II
2145,4.0,Current Employee,Data Science,"Flexible work environment, supportive team members",Sometimes we are expected to work long hours than expected just because someone on the higher-level management needs something by EOD,2021-07-01, Senior Data Analytical Consultant
2146,4.0,Former Employee,Ok,Vacation time is more than typical.,"You are just a number in 260,000 employee base. In many parts of the company.",2021-07-01, Technology Operations Associate
2147,4.0,"Current Employee, more than 8 years",Stressful but rewarding,Benefits and opportunities for advancement,"Stressful at times for management, micro management",2021-07-01, Service Manager
2148,4.0,"Current Employee, less than 1 year",Takes some time to start making commission but definitely a great stepping stone into the mortgage industry,Met some great people that made the experience worth it. Without their training program I would not be where I’m at today,Management will have extremely high expectations & work you until you burn out. Overall culture was routed in fear,2021-07-02, Home Mortgage Consultant
2149,3.0,Current Employee,My Review,It has a Great work life balance,Primary business is banking service.,2021-07-15, Engineering Manager
2150,3.0,"Former Employee, more than 1 year","Great Stepping Stone, stressful!","Wells Fargo is a great company to work for. During Covid-19 pandemic as well as their lawsuits, added stress to the position. Would recommend for anyone looking to work in banking.","Stressful, lots of role compression.",2021-07-15, Customer Service Representative
2151,3.0,"Current Employee, more than 3 years",banking industry,Being an essential worker you know that your job is needed and that you will have consistent pay,The Re-Org they recently did eliminating a lot of jobs makes the career path not attractive,2021-07-15, Personal Banker
2152,3.0,"Former Employee, more than 1 year",A start,Good benefits good positive environment,Stressful not enough Pay quotas,2021-07-15, Customer Service Representative
2153,3.0,"Current Employee, more than 1 year","It’s Alright, Customers hate us most the time",Lots of money to be made if you can stand the constant moral dilemma of working for a big bank like this. 144 hours of PTO and all major holidays off to begin with,Usually the customers have ok to bad experiences with us so that weighs down on me. Job can get very boring,2021-07-16, Inbound Sales Specialist II
2154,3.0,Current Employee,Good not great,"Good benefits
Decent pay rate
Retirement plan that matches up to 6%","Crosstraining and short staffing makes for many unpleasant customers 
Business is downsizing and remodeling its outreach",2021-07-16, Personal Banker
2155,4.0,Current Employee,Stability undergoing change,You know what to expect until you no longer do.,Level of change in 2021 causing a loss of focus on business objectives,2021-06-28, Compliance Program Manager
2156,4.0,Current Employee,Good Experience Overall,Company has good support system,Not a lot of training in the beginning - learn as you go,2021-06-28, Mortgage Loan Processor
2157,5.0,Current Employee,Customer Service,"Great hours, great people, great training",Dealing with customers who think they know it all,2021-06-30, Escrow Specialist
2158,5.0,Current Employee,Great company,Love it great company to work for,Nothing fast advancements great company,2021-07-01, Fraud Specialist
2159,5.0,"Current Employee, more than 8 years",Good,"Great Benefits, competitive pay, good company if you put in the time",Big Company management always changing,2021-07-01, Mortgage Underwriter
2160,5.0,"Current Employee, more than 8 years",Good,"Great Benefits, competitive pay, good company if you put in the time",Big Company management always changing,2021-07-01, Mortgage Underwriter
2161,2.0,Current Employee,The company is burning to the ground and that’s why everyone is leaving it.,The pay is competitive for entry level work.  There are benefits and 401k and a generous amount of PTO.,All of Wells Fargo is understaffed and is requiring their employees to run their branches with barely any staff.  Employees are drained and overworked while dealing with equally overworked customers who more often than not cannot be helped. Wells Fargo has butchered their line of products leaving nothing for bankers to offer in branch and continue to downsize staff and products with no explanation. The company is going under and doing nothing to make it easier for their suffering staff.,2021-07-15, Anonymous Employee
2162,5.0,"Former Employee, more than 5 years",Wells Fargo is an excellent employer,"Competitive Salary
Great Benefits
Structured and Solid Company
Work Life Balance",Marketing and Sales Management reputation after scandal.,2021-06-26, Human Resources Assistant
2163,5.0,"Former Employee, more than 8 years",I love it,"Team member networks
Benefits ( medical, dental, vision, life insurance, stock purchase plan, and 401k)
Work/Life balance
Community Outreach
Help others succeed financially
Corporate structure/ Organized with great systems in place","Bureaucratic when it comes to promotions
Base salary is low",2021-06-27, Mortgage Consultant Assistant
2164,5.0,"Current Employee, more than 8 years",Salary,Company pays good and good benefits,The Changes of titles are very discouraging,2021-06-27, Personal Banker
2165,4.0,"Former Employee, more than 1 year",Iv had worse jobs,"Benefits weren’t bad, but I never used them.",Some mangers sucked other were great,2021-06-30, Customer Service Representative
2166,4.0,Current Employee,Good,"Good, nice place to be.","None, if you like the industry that is.",2021-07-01, Trading Service Representative
2167,4.0,Former Employee,They are like family,Supportive group when it comes to tackling projects.,"Space is tightly regulated, but is expected for a large bank.",2021-07-01, Operational Risk Consultant
2168,3.0,"Current Employee, more than 5 years","Good Upper Management strategies, very poor middle management",Good strategical ideas & growth,Terrible & hostile middle management.,2021-07-12, Senior Software Engineer
2169,3.0,Former Employee,Decent job,"If you find a great group of people to work with, it doesn't feel like work.",Minimal communication from district manager and above.,2021-07-14, Personal Banker
2170,3.0,Current Employee,"Good pay, Cog in machine","Pay
Benefits
Holidays off
Work from home availability 
Clean work environment","Poor management
Poor leadership
Poor communication 
Poor work life balance",2021-07-14, Fraud Investigator
2171,3.0,"Former Employee, more than 3 years",Average at best,They stay up to date on their technology,They’re too customer focused now that they’ve neglected their employees,2021-07-14, HLP IV
2172,3.0,Former Employee,Bank teller,Great place to build up your career,"The quaterly training needs to be taken at home, instead of doing it at work especially when it get busy",2021-07-14, Teller
2173,3.0,"Former Employee, more than 1 year",Great bank,Reasonable pay/ better incentives then other banks,Long hours of work. Business driven only. No humane treatment.,2021-07-14, Personal Banker
2174,3.0,Current Employee,It’s decent,"Good pto
Flexible wfh options even before covid",Lots of layoffs and reorganizations,2021-07-14, Global Product Manager
2175,3.0,"Current Employee, more than 5 years",Personal Banker,Off on the holidays and only you only work until 12 on Saturdays,"Always short staffed, your trained on both teller and banker side so your constantly having to switch from side to side. The pay is not competitive at all. And your not valued as an employee whatsoever",2021-07-15, Personal Banker
2176,3.0,Current Employee,Busy,Pto is probably the best thing and pretty good benefits,Not really any room for growth,2021-07-15, Teller
2177,3.0,Former Employee,Solid company,Fair company to work for,"Large, complex, you make the role and career growth yourself",2021-07-15, Finance Manager
2178,1.0,Current Employee,Dont even think about it!!!!!,I honestly cannot think of any,Worst company i have ever worked for.,2021-08-03, Systems Engineer
2179,5.0,"Current Employee, more than 3 years",Good benefits,Opportunity for advancement is good,Can’t think of anything on Cons,2021-06-30, Operations Analyst
2180,5.0,"Former Employee, more than 1 year",Meeting/Event Coordinator,Good benefits and promotes teamwork and personal growth,Company procedures could be more streamlined,2021-06-30, Meeting/Event Coordinator
2181,1.0,Former Employee,I cannot wait to find a new job,"I did not enjoy working here, I have nothing positive to say. I am just filling in the work minimum to complete this form",but compared to what other employers are offering and cost of benefits it is not worth it. The bigger picture is not worth it. Work life balance was awful,2021-08-04, Life Events Senior Specialist
2182,1.0,"Former Employee, more than 1 year",Don’t work there if better options,If you have to pay your bills,They are not kind at all,2021-08-05, Anonymous Employee
2183,1.0,"Former Employee, more than 1 year","So many changes, just to cut corners","You're offered decent benefits, including ""3 wks PTO"", and some customers aren't too rude","•Horrible management/leadership
 •They don't uphold the diversity or inclusion that the company claims to swear by.
•This branch is understaffed and the part-time workers are force to work full-time hours, but dont receive the full-time benefits. 
•There's obvious favoritism when it comes to scheduling and off days.
•Customers are rude and are so used to staff breaking rules and making exceptions that they throw fits when you actually try to follow policy.",2021-08-05, Teller
2184,1.0,"Current Employee, more than 10 years","If you want a long, rewarding career, look elsewhere",Great salary and bonus if your boss likes you (mine does),"Upper Management is your enemy, and they never let you forget it. Every week you'll get an email taking away another reason to work here.",2021-08-04, Information Security Consultant
2185,5.0,Current Employee,Great company,Benefits are great with Wells Fargo,The pay is not good,2021-06-25, Anonymous Employee
2186,4.0,Current Employee,Great Company to Work For,Great team environment that fosters Technology initiatives,"Alot of consistent leadership changes, slow to adapt to new technologies because of the industry",2021-06-29, Senior Engineering Manager
2187,4.0,"Current Employee, more than 8 years",Opportunities,Great opportunities. Diverse and inclusive.,The pay is low in my opinion.,2021-06-29, Personal Banker I (SAFE)
2188,4.0,"Current Employee, more than 3 years",Costumer transactions,Benefits and days off and schedule,Always understaffed and people always on leaves,2021-06-29, Bank Teller
2189,4.0,"Current Employee, more than 3 years",Currently In Flux,"Good pay, and time off. 
Handled, and continues to handle Covid difficulties well.
Consistent Hours","Short Staffing
Restructured how positions work",2021-06-29, Bank Teller
2190,4.0,Current Employee,Tech Jobs,Good environment to balance work and life. The environment provides you time to upskill yourself.,Slow in adapting new technologies.,2021-06-29, Anonymous Employee
2191,4.0,"Former Employee, more than 1 year",Marketing Client Associate,I enjoyed the flexibility and experience to grow in an industry I had no idea about. This was close to entry level for me. There was room to move up as well.,They aren’t very progressive in how they treat and honor their employees.,2021-06-30, Marketing Client Associate
2192,3.0,"Current Employee, more than 1 year",Wells Fargo collections,"good pay and benefits, stable job","trainings are not thorough and horrible support, managers have little to no knowledge of material needed to assist you",2021-07-13, Collections Specialist II
2193,3.0,Current Employee,Good company not so good people,"benefits, healthcare, 401k match , time off","the people are very back stabbing, toxic cultutre",2021-07-13, Wealth Advisor
2194,3.0,Current Employee,Teller,"Good working environment 
Flexible Schedule","No good benefits
No good pay",2021-07-13, Teller
2195,3.0,"Current Employee, more than 5 years",Great PTO,I haven't worked for a company that will give this much PTO to employees,Management unorganized and training new employees for success needs alot of work.,2021-07-13, Anonymous Employee
2196,3.0,"Current Employee, more than 1 year","Good pay, stressful work",the pay was very good for a first job out of college,literally everything else was a con,2021-07-14, Home Mortgage Consultant
2197,3.0,Current Employee,Salary,Most of the Benefits are good.,Team members can make it stressful.,2021-07-14, Client Service Associate
2198,3.0,Former Employee,Good and bad,I worked with great people at my branch,"Horrible sales expectations, poor company ethics",2021-07-14, Banker
2199,3.0,"Current Employee, more than 5 years",Company review,No sales pressure . Only pressure that you have is customer service.,Bonuses are not good. Low salary. Micro Managing. employees are just a number it is all about customers.,2021-07-14, Licensed Relationship Banker
2200,3.0,"Current Employee, more than 5 years",Company review,No sales pressure . Only pressure that you have is customer service.,Bonuses are not good. Low salary. Micro Managing. employees are just a number it is all about customers.,2021-07-14, Licensed Relationship Banker
2201,5.0,Current Employee,Good company,Good company to work for,I don’t have any cons to report,2021-06-28, Program Manager
2202,5.0,"Current Employee, more than 8 years",Great opportunity,"Many different lines of business to transfer in to. 

Benefits package is great. 
Accrue PTO amount is great
If you want to learn more they have the tools to do so.",Certain areas you deal with high crime rate which also brings unruly customers.,2021-06-28, Branch Manager
2203,5.0,"Former Employee, more than 3 years",Great Place to work for,"Awesome benefis, flexible schedules, friendly co-workers, and good job at training you",none that I can think of,2021-06-29, Customer Service Specialist
2204,2.0,"Current Employee, more than 10 years",Constant Changes,"Benefits, PTO, Current Manager, Great People",CEO and his new leaders don't care about employees and their leadership styles are not employee friendly. There is constant change and many tenured leaders and employees are leaving due to Chainsaw Charlie. It is no longer a great place to work.,2021-07-12, Human Resources
2205,1.0,Former Employee,Teller at WF,There was really nothing amazing about this job. It was something to get by while going to college. To enjoy this role you have to really enjoy working with people and pray that you have decent co-workers.,Pretty much every other thing is a con. Cons are very much branch specific. My Branch manager was such a tool and if I get the opportunity I'd definitely give him a piece of my mind now. Karma is there though. I'll never work for this company again.,2021-08-04, Teller
2206,1.0,Former Employee,No,Don’t do it I’m not happy,Not enough pay for the work load,2021-08-04, Relationship Banker
2207,2.0,Former Employee,overwhelming,"easy to make bonus, great benefits, coworkers, management",will overwhelm you when it gets busy. usually saw people having mental breakdowns due to excessive amount of work and customers getting angry because everything took longer,2021-07-13, Mortgage Processor
2208,2.0,"Former Employee, more than 1 year",Conversation Starters,"-Leaders will encourage that you make connections with your customers through ""conversation starters""","-Conversation starters are really a ""discreet"" way to intrigue your customer about the products that the company offers. There's still a push to getting people in to see a banker.
-Observations occur at least once a month which is stressful because you feel like someone is breathing down your back.",2021-07-14, Teller
2209,5.0,"Former Employee, more than 3 years",Working at Wells Fargo was pretty good,They were very friendly and the worker were the ones who made it worth working there.,New management took over and things kinda fell apart,2021-06-24, Anonymous Employee
2210,5.0,"Current Employee, more than 1 year",A little monotonous but safe and good environment,Everyone is very very nice and supportive,Micro managing and middle management structure,2021-06-25, Inbound Sales Representative
2211,5.0,Current Employee,Etc.,Great work environment within my team,Too big of a company.,2021-06-25, Product Manager
2212,4.0,"Former Employee, more than 10 years",Great place to grow your career,Good opportunities to learn and grow in finance,Leadership decisions often don't make good business sense.,2021-06-28, Market Growth %26 Development Consultant
2213,4.0,"Former Employee, more than 1 year",amazing,everything was amazing very flexible,lack of hours for most tellers,2021-06-28, Bank Teller
2214,4.0,Former Employee,Good place to work,Hands on management and training,No cons I can think of,2021-06-29, Fraud Specialist
2215,4.0,"Current Employee, less than 1 year",It’s a huge bank - but my experience has been good thus far.,Benefits. Stability. Interesting Work. Great People.,Management layer is too heavy.,2021-06-29, Anonymous Employee
2216,3.0,"Former Employee, more than 1 year",Corporate and busy,"Job stability
Good people
Customer service is a priority","Understaffed, stressful, and you're a number",2021-07-12, Bank Teller
2217,3.0,"Former Employee, more than 3 years",Lack of attention to customer needs,"fast promotion, good staff. overall good experience","Shady business practice, unusually high sales goals. Fraud in upper management",2021-07-12, Personal Banker I
2218,3.0,Current Employee,Average,"Decent Pay, 401K match to 6%","Very low annual salary increases,",2021-07-12, Instructional Design Specialist
2219,3.0,Former Employee,Find better,"good people, culture, pay, benefit","too much sales, customer rude, no OT",2021-07-12, Banker
2220,3.0,Former Employee,Find better,"good people, culture, pay, benefit","too much sales, customer rude, no OT",2021-07-12, Banker
2221,3.0,"Former Employee, more than 10 years","I have been with Wells Fargo for years and have enjoyed working in various positions, however it's easy to hit a ceiling",Great benefits and perks depending on the department.,Vague descriptions when searching jobs.,2021-07-12, Compliance Associate
2222,3.0,Former Employee,Ok to start,Great learning experience for beginners,Too much sales pressure on a daily basis,2021-07-13, Customer Service Representative (CSR)
2223,3.0,Current Employee,Company,"Great tools and resources, team environment is good.","Not many growth opportunities, under staff and no consideration.",2021-07-13, Personal Banker I (SAFE)
2224,3.0,Current Employee,Work place,"Great benefits,great pay and good hours",The management is horrible. They dont know how to treat people with respect.,2021-07-13, Anonymous Employee
2225,5.0,"Current Employee, more than 3 years",Cool company,Good benefits and you can learn alot,A lot of Constant change,2021-06-27, Licensed Relationship Banker
2226,5.0,Current Employee,Great,Great great environment and good people,None. None none none none,2021-06-28, Wells Fargo Bank
2227,1.0,"Former Employee, less than 1 year",Culture at WF,none its a horrible company to work for they do not value their employee and they are always demanding and asking us to trick our costumers,Working there is the most horrible thing. They have a vulture culture and they want to act like they care but they don't,2021-08-03, Personal Banker
2228,1.0,Current Employee,Bad,"Location, pay, time, culture, boss","Busy, loud, time, shifts, standing",2021-08-03, Bank Teller
2229,2.0,"Current Employee, more than 10 years",Stagecoach on Fire,Handful of good people to work with,Used to be a good company. Has lacked the ability to recover since fake account scandal. Lack of leadership. Heavy on cutting expenses. Company tries to push through new policy changes without any forward thinking ability (attempted to get rid of 401k matching above a certain salary).,2021-07-12, Bank
2230,5.0,"Current Employee, more than 10 years",Great place to work,"Build strong relationships with others, great benefits, feel valued",Lack of opportunity in my area,2021-06-23, Anonymous Employee
2231,4.0,"Former Employee, more than 5 years",Great,Great place to work at,Little room for growth there,2021-06-28, Anonymous Employee
2232,4.0,Current Employee,Company,Opportunity to grow when company is changing,too many systems and corporate changes at the same time,2021-06-28, Portfolio Manager
2233,4.0,Current Employee,Teller,Good to work with working around scheduling for teller,Nothing bad about wells fargo teller,2021-06-28, Bank Teller
2234,3.0,"Current Employee, more than 1 year",Typical Management like any other place,Lot of talented people. Some are very collaborative and humble.,Too much management influence and a lot of politics because of management,2021-07-10, Software Engineer
2235,3.0,"Former Employee, more than 1 year",Decent job,"Holidays are paid and off
There's great pto and insurance benefits 
Hours are great 
Most co-workers are friendly 
Great Lead-tellers around to help when service managers can't.","No opportunities to move up 
Management is not helpful or willing to help most times 
Lots of compliance videos
Teller line is always going to be overworked and underpaid
District managers will most likely make your branch be short on tellers or bankers. 
You have a lot of responsibilities as well as making sure you are being complient and have to put up with internal audits that come by at the most inconvenient and busy times.",2021-07-11, Bank Teller
2236,3.0,Current Employee,Review,Work life balance is good.,Most managers and leaders are too busy to have time assisting employees when needed,2021-07-11, Wells Fargo Bank
2237,3.0,"Current Employee, more than 1 year",good,good job for someone thats stupid,hate that I can not do me,2021-07-11, Bank Teller
2238,3.0,"Current Employee, more than 3 years",Depends On You,"Flexibility, depth and breath of company",Too personal to be objective at times,2021-07-12, Senior Lead Auditor
2239,3.0,"Current Employee, more than 1 year",Stressful but pays,The pay will get you ahead.,This job made my brain go cross eyed the whole duration of my employment.,2021-07-12, Mortgage Closer
2240,4.0,"Current Employee, more than 1 year",Change & Compensation,"Great PTO allowance and benefits, competitive starting wage.",They will change your job duties and not compensate you for it. They were strict and hounded us about children at home with us during the pandemic unlike other companies that were understanding. They'll change your work hours without regard to the impact on your availability for child care (the reason I accepted this job was the hours. Now I'm in a bind.),2021-06-25, Intake Specialist
2241,4.0,"Current Employee, more than 8 years",Good company with work life balance,Good company with work life balance,"Workloads are increasing after agile process was introduced. Agile process sometimes is not agile, as many processes still take more than 10 days, which increases stress on people who follow agile process. Hopefully it will get better.",2021-06-21, Senior Software Engineer
2242,2.0,"Current Employee, more than 3 years",risk,screwed up interview process.Only behavioural questions .No forward looking,longevity and ability to change roles,2021-07-12, Risk Manager
2243,2.0,"Former Employee, less than 1 year",Meh,They had decent benefits I guess.,Did not care about employees.,2021-07-12, Fraud Investigator
